mig_year,net_overseas_migration,state,Australian_total,year_time
2004,47440,New South Wales,142580,2004
2005,53610,New South Wales,171850,2005
2006,73570,New South Wales,232800,2006
2007,87390,New South Wales,277350,2007
2008,86740,New South Wales,299860,2008
2009,57150,New South Wales,196060,2009
2010,51680,New South Wales,180370,2010
2011,57230,New South Wales,231950,2011
2012,66760,New South Wales,230330,2012
2013,66990,New South Wales,187780,2013
2014,70310,New South Wales,184020,2014
2015,80010,New South Wales,206230,2015
2016,105500,New South Wales,263350,2016
2017,90650,New South Wales,238220,2017
2018,84540,New South Wales,241320,2018
2019,57890,New South Wales,192700,2019
2020,-7330,New South Wales,-84970,2020
2021,69110,New South Wales,203520,2021
2022,174200,New South Wales,518050,2022
2004,37620,Victoria,142580,2004
2005,44980,Victoria,171850,2005
2006,62540,Victoria,232800,2006
2007,73560,Victoria,277350,2007
2008,83620,Victoria,299860,2008
2009,53680,Victoria,196060,2009
2010,44630,Victoria,180370,2010
2011,56170,Victoria,231950,2011
2012,59030,Victoria,230330,2012
2013,56910,Victoria,187780,2013
2014,60690,Victoria,184020,2014
2015,72220,Victoria,206230,2015
2016,91240,Victoria,263350,2016
2017,86970,Victoria,238220,2017
2018,85480,Victoria,241320,2018
2019,60570,Victoria,192700,2019
2020,-52990,Victoria,-84970,2020
2021,66050,Victoria,203520,2021
2022,154260,Victoria,518050,2022
2004,26710,Queensland,142580,2004
2005,32730,Queensland,171850,2005
2006,46150,Queensland,232800,2006
2007,53910,Queensland,277350,2007
2008,59320,Queensland,299860,2008
2009,35820,Queensland,196060,2009
2010,34630,Queensland,180370,2010
2011,46540,Queensland,231950,2011
2012,41830,Queensland,230330,2012
2013,27220,Queensland,187780,2013
2014,20430,Queensland,184020,2014
2015,24950,Queensland,206230,2015
2016,34080,Queensland,263350,2016
2017,27740,Queensland,238220,2017
2018,31750,Queensland,241320,2018
2019,27970,Queensland,192700,2019
2020,-12860,Queensland,-84970,2020
2021,29620,Queensland,203520,2021
2022,83990,Queensland,518050,2022
2004,8550,South Australia,142580,2004
2005,11870,South Australia,171850,2005
2006,14630,South Australia,232800,2006
2007,15330,South Australia,277350,2007
2008,18010,South Australia,299860,2008
2009,14540,South Australia,196060,2009
2010,9170,South Australia,180370,2010
2011,12360,South Australia,231950,2011
2012,11680,South Australia,230330,2012
2013,11640,South Australia,187780,2013
2014,11150,South Australia,184020,2014
2015,11280,South Australia,206230,2015
2016,12180,South Australia,263350,2016
2017,12720,South Australia,238220,2017
2018,15140,South Australia,241320,2018
2019,14930,South Australia,192700,2019
2020,-2830,South Australia,-84970,2020
2021,14320,South Australia,203520,2021
2022,27860,South Australia,518050,2022
2004,19190,Western Australia,142580,2004
2005,25510,Western Australia,171850,2005
2006,31380,Western Australia,232800,2006
2007,41180,Western Australia,277350,2007
2008,44330,Western Australia,299860,2008
2009,28870,Western Australia,196060,2009
2010,36430,Western Australia,180370,2010
2011,50780,Western Australia,231950,2011
2012,42140,Western Australia,230330,2012
2013,18750,Western Australia,187780,2013
2014,14070,Western Australia,184020,2014
2015,11620,Western Australia,206230,2015
2016,12010,Western Australia,263350,2016
2017,11980,Western Australia,238220,2017
2018,17480,Western Australia,241320,2018
2019,25170,Western Australia,192700,2019
2020,-5070,Western Australia,-84970,2020
2021,15340,Western Australia,203520,2021
2022,61590,Western Australia,518050,2022
2004,1240,Tasmania,142580,2004
2005,1350,Tasmania,171850,2005
2006,1440,Tasmania,232800,2006
2007,1840,Tasmania,277350,2007
2008,2130,Tasmania,299860,2008
2009,1680,Tasmania,196060,2009
2010,990,Tasmania,180370,2010
2011,1520,Tasmania,231950,2011
2012,1620,Tasmania,230330,2012
2013,1800,Tasmania,187780,2013
2014,1520,Tasmania,184020,2014
2015,1770,Tasmania,206230,2015
2016,2340,Tasmania,263350,2016
2017,2800,Tasmania,238220,2017
2018,3190,Tasmania,241320,2018
2019,3640,Tasmania,192700,2019
2020,-320,Tasmania,-84970,2020
2021,3350,Tasmania,203520,2021
2022,4030,Tasmania,518050,2022
2004,1010,Canberra,142580,2004
2005,640,Canberra,171850,2005
2006,1150,Canberra,232800,2006
2007,1620,Canberra,277350,2007
2008,2100,Canberra,299860,2008
2009,1230,Canberra,196060,2009
2010,1100,Canberra,180370,2010
2011,3330,Canberra,231950,2011
2012,4350,Canberra,230330,2012
2013,1750,Canberra,187780,2013
2014,2350,Canberra,184020,2014
2015,1050,Canberra,206230,2015
2016,1850,Canberra,263350,2016
2017,760,Canberra,238220,2017
2018,930,Canberra,241320,2018
2019,290,Canberra,192700,2019
2020,-420,Canberra,-84970,2020
2021,2340,Canberra,203520,2021
2022,3330,Canberra,518050,2022
2004,820,Australian Capital Territory,142580,2004
2005,1160,Australian Capital Territory,171850,2005
2006,1940,Australian Capital Territory,232800,2006
2007,2520,Australian Capital Territory,277350,2007
2008,3610,Australian Capital Territory,299860,2008
2009,3090,Australian Capital Territory,196060,2009
2010,1740,Australian Capital Territory,180370,2010
2011,4020,Australian Capital Territory,231950,2011
2012,2920,Australian Capital Territory,230330,2012
2013,2720,Australian Capital Territory,187780,2013
2014,3500,Australian Capital Territory,184020,2014
2015,3330,Australian Capital Territory,206230,2015
2016,4150,Australian Capital Territory,263350,2016
2017,4600,Australian Capital Territory,238220,2017
2018,2810,Australian Capital Territory,241320,2018
2019,2240,Australian Capital Territory,192700,2019
2020,-3150,Australian Capital Territory,-84970,2020
2021,3390,Australian Capital Territory,203520,2021
2022,8790,Australian Capital Territory,518050,2022
2004,1010,Northern Territory,142580,2004
2005,640,Northern Territory,171850,2005
2006,1150,Northern Territory,232800,2006
2007,1620,Northern Territory,277350,2007
2008,2100,Northern Territory,299860,2008
2009,1230,Northern Territory,196060,2009
2010,1100,Northern Territory,180370,2010
2011,3330,Northern Territory,231950,2011
2012,4350,Northern Territory,230330,2012
2013,1750,Northern Territory,187780,2013
2014,2350,Northern Territory,184020,2014
2015,1050,Northern Territory,206230,2015
2016,1850,Northern Territory,263350,2016
2017,760,Northern Territory,238220,2017
2018,930,Northern Territory,241320,2018
2019,290,Northern Territory,192700,2019
2020,-420,Northern Territory,-84970,2020
2021,2340,Northern Territory,203520,2021
2022,3330,Northern Territory,518050,2022
